perturbation,severity,num_samples,mse_mean,mse_max,mae_mean,psnr_mean,brightness_shift_mean,contrast_ratio_mean,edge_energy_ratio_mean
blur,1.0,12,0.0008387824539871266,0.0008662972832098603,0.009223550946141282,30.764641965166515,-1.5969077746073406e-05,0.9035249054431915,0.5933117599110649
blur,2.0,12,0.0012958430452272296,0.0013298837002366781,0.012162705805773536,28.875149301853266,0.00048806269963582355,0.8432611624399821,0.49679394095740137
brightness,0.2,12,0.0005186690832488239,0.00053359882440418,0.008474226497734586,32.85215564346775,0.008474191029866537,0.8051406145095825,0.6188533425853077
brightness,0.5,12,0.0018613026671422024,0.0018850693013519049,0.014205709643041095,27.3019841610184,0.014205669363339743,0.5582614789406458,0.41363249117339446
center_crop,0.75,12,0.010535480765004953,0.010663392022252083,0.03240841037283341,19.773655431621204,-0.010821625590324402,1.2986005743344624,0.8679867600861567
contrast,0.2,12,0.00028114345817205805,0.0002829652512446046,0.004279464522066216,35.510750605201814,-0.003906349341074626,1.1862609684467316,1.1748738687379727
contrast,0.5,12,0.001732499193167314,0.0017474539345130324,0.010540705484648546,27.613345640801512,-0.009930476546287537,1.462829718987147,1.4349371196686036
jpeg,0.5,12,8.19163669802947e-05,9.197350300382823e-05,0.0033045444482316575,40.881105709679915,0.0022053917249043784,0.9787880082925161,1.031704899656395
jpeg,0.75,12,0.00024829833758606884,0.0002795048349071294,0.00571007727800558,36.061373145097704,-0.0004742741584777832,1.0428782800833385,1.3019077304645799
random_occlusion,0.15,12,0.0012796252461460729,0.0012928876094520092,0.0035809181863442063,28.929345509824362,0.003168240189552307,0.9220184832811356,0.9770197052140338
random_occlusion,0.3,12,0.003324554612239202,0.003339785849675536,0.010006538049007455,24.782690381994637,0.0075788746277491255,0.7575848897298177,0.774562555335396
resolution_drop,0.5,12,0.0014559045569815983,0.001531156711280346,0.006627043786769112,28.37080957523182,0.0025961349407831826,0.9830639014641444,0.6089308950763982
